Date	ISIN	SecurityDescription	AggregateHoldingOfFPIS	OutstandingPositionOfGovtSecurities	SecHoldings
20200909	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200909	IN0020100031	08.30 GS 2040	491	90000	0.55
20200909	IN0020050012	07.40 GS 2035	512	99245	0.52
20200909	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200910	IN0020120039	08.33 GS 2026	2901.273	87000	3.33
20200910	IN0020190065	07.57 GS 2033	3960.594	120790.584	3.28
20200910	IN0020070069	08.28 GS 2027	2814.693	90000.721	3.13
20200910	IN0020170026	06.79 GS 2027	3547.424	121000	2.93
20200910	IN0020020106	07.95 GS 2032	3531.87	121000	2.92
20200910	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200910	IN0020150028	07.88 GS 2030	1907.86	89000	2.14
20200910	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200910	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200910	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200910	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200910	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200910	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200910	IN0020120047	08.20 GS 2025	2271.244	90000	2.52
20200910	IN0020140060	08.15 GS 2026	2799.757	82963.846	3.37
20200910	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200910	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200910	IN0020110030	08.79 GS 2021	3254.701	82330.455	3.95
20200910	IN0020110048	09.15 GS 2024	3368.049	84062.541	4.01
20200910	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200910	IN0020150036	07.72 GS 2025	4026.259	90031.814	4.47
20200910	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200910	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200910	IN0020180025	07.37 GS 2023	2167.559	39987.813	5.42
20200910	IN0020170174	07.17 GS 2028	6278.529	113148.448	5.55
20200910	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200910	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200910	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200910	IN0020190016	07.27 GS 2026	4046.451	60248.949	6.72
20200910	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200910	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200910	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200910	IN0020180041	GOI FRB 2031	120	120000	0.1
20200910	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200910	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200910	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200910	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200910	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200910	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200910	IN0020110022	07.80 GS 2021	168.483	63880.435	0.26
20200910	IN0020030014	06.30 GS 2023	35	13000	0.27
20200910	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200910	IN0020200021	05.09 GS 2022	160	49000	0.33
20200910	IN0020160092	06.62 GS 2051	184	55000	0.33
20200910	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200910	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200910	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200910	IN0020150044	08.13 GS 2045	410	98000	0.42
20200910	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200910	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200910	IN0020050012	07.40 GS 2035	512	99245	0.52
20200910	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200910	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200910	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200910	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200910	IN0020200096	06.19 GS 2034	1207.558	100000	1.21
20200910	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200910	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200910	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200910	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200910	IN0020060318	07.94 GS 2021	303.8	42555	0.71
20200910	IN0020190040	07.69 GS 2043	250	37000	0.68
20200910	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200910	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200910	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200910	IN0020100031	08.30 GS 2040	491	90000	0.55
20200911	IN0020120039	08.33 GS 2026	2901.273	87000	3.33
20200911	IN0020190065	07.57 GS 2033	3960.594	120790.584	3.28
20200911	IN0020070069	08.28 GS 2027	2829.693	90000.721	3.14
20200911	IN0020170026	06.79 GS 2027	3547.424	121000	2.93
20200911	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200911	IN0020120047	08.20 GS 2025	2310.044	90000	2.57
20200911	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200911	IN0020150028	07.88 GS 2030	1907.86	89000	2.14
20200911	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200911	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200911	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200911	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200911	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200911	IN0020140060	08.15 GS 2026	2799.757	82963.846	3.37
20200911	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200911	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200911	IN0020110030	08.79 GS 2021	3254.701	82330.455	3.95
20200911	IN0020110048	09.15 GS 2024	3368.049	84062.541	4.01
20200911	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200911	IN0020150036	07.72 GS 2025	4026.259	90031.814	4.47
20200911	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200911	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200911	IN0020180025	07.37 GS 2023	2167.559	39987.813	5.42
20200911	IN0020170174	07.17 GS 2028	6278.529	113148.448	5.55
20200911	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200911	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200911	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200911	IN0020190016	07.27 GS 2026	4046.451	60248.949	6.72
20200911	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200911	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200911	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200911	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200911	IN0020180041	GOI FRB 2031	120	120000	0.1
20200911	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200911	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200911	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200911	IN0020160092	06.62 GS 2051	184	55000	0.33
20200911	IN0020200021	05.09 GS 2022	160	49000	0.33
20200911	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200911	IN0020150044	08.13 GS 2045	410	98000	0.42
20200911	IN0020030014	06.30 GS 2023	35	13000	0.27
20200911	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200911	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200911	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200911	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200911	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200911	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200911	IN0020110022	07.80 GS 2021	168.483	63880.435	0.26
20200911	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200911	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200911	IN0020050012	07.40 GS 2035	512	99245	0.52
20200911	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200911	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200911	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200911	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200911	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200911	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200911	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200911	IN0020200096	06.19 GS 2034	1159.615	100000	1.16
20200911	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200911	IN0020190040	07.69 GS 2043	250	37000	0.68
20200911	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200911	IN0020060318	07.94 GS 2021	273.8	42555	0.64
20200911	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200911	IN0020100031	08.30 GS 2040	491	90000	0.55
20200911	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200914	IN0020190065	07.57 GS 2033	3910.594	120790.584	3.24
20200914	IN0020070069	08.28 GS 2027	2829.693	90000.721	3.14
20200914	IN0020170026	06.79 GS 2027	3547.424	121000	2.93
20200914	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200914	IN0020120047	08.20 GS 2025	2310.044	90000	2.57
20200914	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200914	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200914	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200914	IN0020150028	07.88 GS 2030	1927.86	89000	2.17
20200914	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200914	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200914	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200914	IN0020120039	08.33 GS 2026	2901.273	87000	3.33
20200914	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200914	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200914	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200914	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200914	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200914	IN0020110030	08.79 GS 2021	3254.701	82330.455	3.95
20200914	IN0020110048	09.15 GS 2024	3368.049	84062.541	4.01
20200914	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200914	IN0020150036	07.72 GS 2025	4026.259	90031.814	4.47
20200914	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200914	IN0020180025	07.37 GS 2023	2167.559	39987.813	5.42
20200914	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200914	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200914	IN0020170174	07.17 GS 2028	6578.529	113148.448	5.81
20200914	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200914	IN0020190016	07.27 GS 2026	4046.451	60248.949	6.72
20200914	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200914	IN0020140060	08.15 GS 2026	2799.757	82963.846	3.37
20200914	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200914	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200914	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200914	IN0020180041	GOI FRB 2031	120	120000	0.1
20200914	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200914	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200914	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200914	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200914	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200914	IN0020110022	07.80 GS 2021	168.483	63880.435	0.26
20200914	IN0020030014	06.30 GS 2023	35	13000	0.27
20200914	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200914	IN0020200021	05.09 GS 2022	160	52000	0.31
20200914	IN0020160092	06.62 GS 2051	184	55000	0.33
20200914	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200914	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200914	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200914	IN0020150044	08.13 GS 2045	410	98000	0.42
20200914	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200914	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200914	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200914	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200914	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200914	IN0020200096	06.19 GS 2034	1159.615	100000	1.16
20200914	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200914	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200914	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200914	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200914	IN0020190040	07.69 GS 2043	250	37000	0.68
20200914	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200914	IN0020060318	07.94 GS 2021	273.8	42555	0.64
20200914	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200914	IN0020100031	08.30 GS 2040	491	90000	0.55
20200914	IN0020050012	07.40 GS 2035	512	99245	0.52
20200914	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200915	IN0020070069	08.28 GS 2027	2979.693	90000.721	3.31
20200915	IN0020190065	07.57 GS 2033	3860.594	120790.584	3.2
20200915	IN0020170026	06.79 GS 2027	3587.424	121000	2.96
20200915	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200915	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200915	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200915	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200915	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200915	IN0020150028	07.88 GS 2030	1927.86	89000	2.17
20200915	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200915	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200915	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200915	IN0020120039	08.33 GS 2026	2901.273	87000	3.33
20200915	IN0020120047	08.20 GS 2025	2160.044	90000	2.4
20200915	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200915	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200915	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200915	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200915	IN0020110030	08.79 GS 2021	3254.701	82330.455	3.95
20200915	IN0020110048	09.15 GS 2024	3395.049	84062.541	4.04
20200915	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200915	IN0020150036	07.72 GS 2025	4046.259	90031.814	4.49
20200915	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200915	IN0020180025	07.37 GS 2023	2167.559	39987.813	5.42
20200915	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200915	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200915	IN0020170174	07.17 GS 2028	6603.529	113148.448	5.84
20200915	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200915	IN0020190016	07.27 GS 2026	4129.451	60248.949	6.85
20200915	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200915	IN0020140060	08.15 GS 2026	2829.757	82963.846	3.41
20200915	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200915	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200915	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200915	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200915	IN0020180041	GOI FRB 2031	120	120000	0.1
20200915	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200915	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200915	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200915	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200915	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200915	IN0020110022	07.80 GS 2021	168.483	63880.435	0.26
20200915	IN0020030014	06.30 GS 2023	35	13000	0.27
20200915	IN0020200021	05.09 GS 2022	160	52000	0.31
20200915	IN0020160092	06.62 GS 2051	184	55000	0.33
20200915	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200915	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200915	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200915	IN0020150044	08.13 GS 2045	410	98000	0.42
20200915	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200915	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200915	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200915	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200915	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200915	IN0020200096	06.19 GS 2034	1159.615	100000	1.16
20200915	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200915	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200915	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200915	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200915	IN0020190040	07.69 GS 2043	250	37000	0.68
20200915	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200915	IN0020060318	07.94 GS 2021	273.8	42555	0.64
20200915	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200915	IN0020100031	08.30 GS 2040	491	90000	0.55
20200915	IN0020050012	07.40 GS 2035	512	99245	0.52
20200915	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200916	IN0020070069	08.28 GS 2027	2916.613	90000.721	3.24
20200916	IN0020190065	07.57 GS 2033	3860.594	120790.584	3.2
20200916	IN0020170026	06.79 GS 2027	3587.424	121000	2.96
20200916	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200916	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200916	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200916	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200916	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200916	IN0020150028	07.88 GS 2030	1927.86	89000	2.17
20200916	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200916	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200916	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200916	IN0020120039	08.33 GS 2026	2909.273	87000	3.34
20200916	IN0020120047	08.20 GS 2025	2160.044	90000	2.4
20200916	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200916	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200916	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200916	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200916	IN0020110030	08.79 GS 2021	3254.701	82330.455	3.95
20200916	IN0020110048	09.15 GS 2024	3395.049	84062.541	4.04
20200916	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200916	IN0020150036	07.72 GS 2025	4046.259	90031.814	4.49
20200916	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200916	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200916	IN0020180025	07.37 GS 2023	2159.359	39987.813	5.4
20200916	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200916	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200916	IN0020170174	07.17 GS 2028	6822.312	113148.448	6.03
20200916	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200916	IN0020190016	07.27 GS 2026	4014.451	60248.949	6.66
20200916	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200916	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200916	IN0020140060	08.15 GS 2026	2829.757	82963.846	3.41
20200916	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200916	IN0020180041	GOI FRB 2031	120	120000	0.1
20200916	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200916	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200916	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200916	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200916	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200916	IN0020110022	07.80 GS 2021	168.483	63880.435	0.26
20200916	IN0020030014	06.30 GS 2023	35	13000	0.27
20200916	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200916	IN0020200021	05.09 GS 2022	160	52000	0.31
20200916	IN0020160092	06.62 GS 2051	184	55000	0.33
20200916	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200916	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200916	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200916	IN0020150044	08.13 GS 2045	410	98000	0.42
20200916	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200916	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200916	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200916	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200916	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200916	IN0020200096	06.19 GS 2034	1169.615	100000	1.17
20200916	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200916	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200916	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200916	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200916	IN0020190040	07.69 GS 2043	250	37000	0.68
20200916	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200916	IN0020060318	07.94 GS 2021	273.8	42555	0.64
20200916	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200916	IN0020100031	08.30 GS 2040	491	90000	0.55
20200916	IN0020050012	07.40 GS 2035	512	99245	0.52
20200916	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200917	IN0020120039	08.33 GS 2026	2909.273	87000	3.34
20200917	IN0020070069	08.28 GS 2027	2916.613	90000.721	3.24
20200917	IN0020190065	07.57 GS 2033	3860.594	120790.584	3.2
20200917	IN0020170026	06.79 GS 2027	3587.424	121000	2.96
20200917	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200917	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200917	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200917	IN0020120047	08.20 GS 2025	2160.044	90000	2.4
20200917	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200917	IN0020150028	07.88 GS 2030	1927.86	89000	2.17
20200917	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200917	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200917	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200917	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200917	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200917	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200917	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200917	IN0020110030	08.79 GS 2021	3230.881	82330.455	3.92
20200917	IN0020110048	09.15 GS 2024	3395.049	84062.541	4.04
20200917	IN0020140045	08.40 GS 2024	3316.139	79533.528	4.17
20200917	IN0020150036	07.72 GS 2025	4046.259	90031.814	4.49
20200917	IN0020070028	08.08 GS 2022	2929.06	63989.116	4.58
20200917	IN0020180025	07.37 GS 2023	2159.359	39987.813	5.4
20200917	IN0020130061	08.83 GS 2023	4684.485	83000	5.64
20200917	IN0020130012	07.16 GS 2023	4394.458	77100	5.7
20200917	IN0020170174	07.17 GS 2028	6823.312	113148.448	6.03
20200917	IN0020140011	08.60 GS 2028	5317.891	84000	6.33
20200917	IN0020190016	07.27 GS 2026	4009.451	60248.949	6.65
20200917	IN0020120013	08.15 GS 2022	6031.541	74637	8.08
20200917	IN0020150069	07.59 GS 2029	1808.02	96236.793	1.88
20200917	IN0020140060	08.15 GS 2026	2873.757	82963.846	3.46
20200917	IN0020190024	07.62 GS 2039	673.954	38150.903	1.77
20200917	IN0020160050	06.84 GS 2022	1731.44	99000	1.75
20200917	IN0020150010	07.68 GS 2023	1498.961	88132.012	1.7
20200917	IN0020030055	06.17 GS 2023	15.9	14000	0.11
20200917	IN0020200039	07.19 GS 2060	120	98381.042	0.12
20200917	IN0020060045	08.33 GS 2036	135.19	86000	0.16
20200917	IN0020040039	07.50 GS 2034	163.5	99101.13	0.16
20200917	IN0020120062	08.30 GS 2042	252.49	104529.44	0.24
20200917	IN0020110022	07.80 GS 2021	151.653	63880.435	0.24
20200917	IN0020030014	06.30 GS 2023	35	13000	0.27
20200917	IN0020190099	06.17 GS 2021	100	36206.566	0.28
20200917	IN0020200021	05.09 GS 2022	160	52000	0.31
20200917	IN0020160092	06.62 GS 2051	184	55000	0.33
20200917	IN0020060086	08.28 GS 2032	315	90687.11	0.35
20200917	IN0020130053	09.20 GS 2030	220.051	61884.55	0.36
20200917	IN0020160068	07.06 GS 2046	369.615	100000	0.37
20200917	IN0020150044	08.13 GS 2045	410	98000	0.42
20200917	IN0020160035	06.97 GS 2026	397.395	89743.393	0.44
20200917	IN0020180041	GOI FRB 2031	120	120000	0.1
20200917	IN0020050012	07.40 GS 2035	512	99245	0.52
20200917	IN0020110055	08.97 GS 2030	1451.28	90000	1.61
20200917	IN0020090034	07.35 GS 2024	809.05	52448.331	1.54
20200917	IN0020070036	08.26 GS 2027	1286.6	97726.614	1.32
20200917	IN0020130079	09.23 GS 2043	1010	79472.28	1.27
20200917	IN0020080050	06.83 GS 2039	64.5	13000	0.5
20200917	IN0020140078	08.17 GS 2044	1096.17	97000	1.13
20200917	IN0020120054	08.12 GS 2020	427.796	49493.152	0.86
20200917	IN0020200096	06.19 GS 2034	1169.615	100000	1.17
20200917	IN0020070044	08.32 GS 2032	685.8	89434.05	0.77
20200917	IN0020190040	07.69 GS 2043	250	37000	0.68
20200917	IN0020160100	06.57 GS 2033	466.32	71635.096	0.65
20200917	IN0020060318	07.94 GS 2021	273.8	42555	0.64
20200917	IN0020180470	07.00 GS 2021	171.2	29145.055	0.59
20200917	IN0020100031	08.30 GS 2040	491	90000	0.55
20200917	IN0020170042	06.68 GS 2031	786.75	93251.703	0.84
20200918	IN0020120039	08.33 GS 2026	2909.273	87000	3.34
20200918	IN0020070069	08.28 GS 2027	2916.613	90000.721	3.24
20200918	IN0020190065	07.57 GS 2033	3860.594	120790.584	3.2
20200918	IN0020170026	06.79 GS 2027	3707.424	121000	3.06
20200918	IN0020020106	07.95 GS 2032	3492.77	121000	2.89
20200918	IN0020150051	07.73 GS 2034	2537.27	100000	2.54
20200918	IN0020160118	06.79 GS 2029	2436.554	118801.123	2.05
20200918	IN0020120047	08.20 GS 2025	2160.044	90000	2.4
20200918	IN0020140052	08.24 GS 2033	2166.939	99275	2.18
20200918	IN0020150028	07.88 GS 2030	1927.86	89000	2.17
20200918	IN0020070051	08.13 GS 2022	1403.667	67556.765	2.08
20200918	IN0020110063	08.83 GS 2041	1857.4	90000	2.06
20200918	IN0020060037	08.20 GS 2022	1790.385	53616.875	3.34
20200918	IN0020160019	07.61 GS 2030	2509.13	100989.438	2.48
20200918	IN0020150093	07.59 GS 2026	4088.474	119000	3.44
20200918	IN0020060078	08.24 GS 2027	5696.638	111388.55	5.11
20200918	IN0020020072	08.35 GS 2022	2112.63	56845	3.72
20200918	IN0020110030	08.79 GS 2021	3230.881	82330.455	3.92
